scenario,reward,satisfaction,final_satisfaction,churned,term_reason,steps
Growth (High Eng),-2.950000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),91.47499999403954,0.45,0.45,0,MaxSteps,100
Growth (High Eng),-3.374999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),7.350000210106373,0.10000000000000002,0.10000000000000002,1,Churn,17
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),91.47499999403954,0.45,0.45,0,MaxSteps,100
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.3749999944120646,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Growth (High Eng),0.8749998286366463,0.15000000000000002,0.15000000000000002,1,Churn,10
Growth (High Eng),-3.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),5.374999824911356,0.15000000000000013,0.15000000000000013,1,Churn,16
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,17
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,13
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,11
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),0.9500000234693289,1.3877787807814457e-17,1.3877787807814457e-17,1,Churn,13
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,13
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.374999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,13
Growth (High Eng),3.6250002048909664,0.10000000000000013,0.10000000000000013,1,Churn,14
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-2.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.374999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,16
Growth (High Eng),-2.950000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.374999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),-3.3749999944120646,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Growth (High Eng),-2.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),7.299999825656414,0.15000000000000002,0.15000000000000002,1,Churn,16
Growth (High Eng),202.79999986290932,0.95,0.95,0,MaxSteps,100
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),-2.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-2.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Safety (High Churn),85.04999980330467,0.95,0.95,0,MaxSteps,100
Safety (High Churn),1.1250000055879354,0.0,0.0,1,Churn,12
Safety (High Churn),1.1250000055879354,0.0,0.0,1,Churn,14
Safety (High Churn),34.8750000204891,0.0,0.0,1,Churn,21
Safety (High Churn),1.1000001952052116,0.10000000000000007,0.10000000000000007,1,Churn,8
Safety (High Churn),11.049999810755253,0.15000000000000008,0.15000000000000008,1,Churn,7
Safety (High Churn),1.1250000055879354,0.0,0.0,1,Churn,23
Safety (High Churn),1.0499998107552528,0.15000000000000008,0.15000000000000008,1,Churn,7
Safety (High Churn),1.125000100582838,0.05000000000000007,0.05000000000000007,1,Churn,9
Safety (High Churn),75.02499976754189,0.95,0.95,0,MaxSteps,100
Safety (High Churn),1.125000100582838,0.05000000000000007,0.05000000000000007,1,Churn,9
Safety (High Churn),1.125000100582838,0.05000000000000007,0.05000000000000007,1,Churn,9
Safety (High Churn),23.149999825283885,0.15000000000000008,0.15000000000000008,1,Churn,16
Safety (High Churn),6.049999810755253,0.15000000000000008,0.15000000000000008,1,Churn,7
Safety (High Churn),1.0499998107552528,0.15000000000000008,0.15000000000000008,1,Churn,7
Safety (High Churn),6.049999810755253,0.15000000000000008,0.15000000000000008,1,Churn,7
Safety (High Churn),11.125000100582838,0.05000000000000007,0.05000000000000007,1,Churn,9
Safety (High Churn),1.1000001952052116,0.10000000000000007,0.10000000000000007,1,Churn,8
Safety (High Churn),95.7249998152256,1.0,1.0,0,MaxSteps,100
