scenario,reward,satisfaction,final_satisfaction,churned,term_reason,steps
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,11
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),0.9500000234693289,0.0,0.0,1,Churn,14
Growth (High Eng),-2.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),160.3249997496605,1.0,1.0,0,MaxSteps,100
Growth (High Eng),-2.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),91.47499999403954,0.45,0.45,0,MaxSteps,100
Growth (High Eng),-2.950000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,14
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,12
Growth (High Eng),-3.3749999944120646,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Growth (High Eng),-2.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),6.875000020489097,0.0,0.0,1,Churn,20
Growth (High Eng),-3.374999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),210.67499986290932,0.95,0.95,0,MaxSteps,100
Growth (High Eng),3.824999801814556,0.1500000000000002,0.1500000000000002,1,Churn,13
Growth (High Eng),91.47499999403954,0.45,0.45,0,MaxSteps,100
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),91.47499999403954,0.45,0.45,0,MaxSteps,100
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,14
Growth (High Eng),-2.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),91.47499999403954,0.45,0.45,0,MaxSteps,100
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-2.950000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-1.8749999944120646,0.0,0.0,1,Churn,13
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.3749999944120646,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),122.69999977946281,0.9999999999999999,0.9999999999999999,0,MaxSteps,100
Growth (High Eng),-3.450000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-2.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),-3.3999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Growth (High Eng),144.09999978542328,0.95,0.95,0,MaxSteps,100
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,16
Growth (High Eng),-3.374999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,13
Growth (High Eng),-3.374999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),-1.8749999944120646,0.0,0.0,1,Churn,15
Growth (High Eng),-2.950000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),160.34999975562096,1.0,1.0,0,MaxSteps,100
Growth (High Eng),-3.3749999944120646,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,11
Growth (High Eng),-3.374999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),-3.3749999944120646,0.0,0.0,1,Churn,13
Growth (High Eng),-3.374999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Growth (High Eng),-2.950000189244747,0.15000000000000008,0.15000000000000008,1,Churn,7
Growth (High Eng),-3.3749999944120646,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Growth (High Eng),-2.8749999944120646,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Growth (High Eng),-2.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Safety (High Churn),11.125000005587935,0.0,0.0,1,Churn,11
Safety (High Churn),1.0499998107552528,0.15000000000000008,0.15000000000000008,1,Churn,7
Safety (High Churn),75.02499976754189,0.95,0.95,0,MaxSteps,100
Safety (High Churn),11.125000005587935,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Safety (High Churn),6.100000195205212,0.10000000000000007,0.10000000000000007,1,Churn,8
Safety (High Churn),1.125000100582838,0.05000000000000007,0.05000000000000007,1,Churn,9
Safety (High Churn),1.1000001952052116,0.10000000000000007,0.10000000000000007,1,Churn,8
