Episode,Step,Enthusiasm,TimeOfDay,ScrollVel,Hover,ViewTime,w_Eng,w_Sat,w_Div,w_Fair,Scenario,Action,Reward,Satisfaction,Done
0,0,0.76808244,4.2991967,0.0,0.0,0.0,0.506165,0.27900377,2.3786697,1.8735921,Safety,7,3.586468,0.3859043632313822,False
0,1,0.76808244,4.2991967,5.0,0.5,1.5,0.506165,0.27900377,2.3786697,1.8735921,Safety,57,3.8076022,0.33907819201299333,False
0,2,0.76808244,4.2991967,5.0,0.5,1.5,0.506165,0.27900377,2.3786697,1.8735921,Safety,132,5.5167117,0.3349595387147225,False
0,3,0.76808244,4.2991967,5.0,0.5,0.5,0.506165,0.27900377,2.3786697,1.8735921,Safety,126,4.2686176,0.3126166430772983,False
0,4,0.76808244,4.2991967,5.0,0.5,1.5,0.506165,0.27900377,2.3786697,1.8735921,Safety,40,3.9574146,0.17198462107878087,False
0,5,0.76808244,4.2991967,5.0,0.5,0.5,0.506165,0.27900377,2.3786697,1.8735921,Safety,58,4.6818385,0.11485171124881248,False
0,6,0.76808244,4.2991967,5.0,0.5,1.5,0.506165,0.27900377,2.3786697,1.8735921,Safety,52,4.501336,0.027507339828066316,False
0,7,0.76808244,4.2991967,5.0,0.5,1.5,0.506165,0.27900377,2.3786697,1.8735921,Safety,147,3.9078896,0.23622743129107696,True
1,0,0.31156933,16.077196,0.0,0.0,0.0,1.4174029,0.44177487,2.1233623,1.5993404,Safety,3,2.4565082,0.4604104841185565,False
1,1,0.31156933,16.077196,5.0,0.5,0.5,1.4174029,0.44177487,2.1233623,1.5993404,Safety,126,3.1778808,0.3585983447514517,False
1,2,0.31156933,16.077196,5.0,0.5,0.5,1.4174029,0.44177487,2.1233623,1.5993404,Safety,57,4.4780593,0.28479360679117766,False
1,3,0.31156933,16.077196,5.0,0.5,0.5,1.4174029,0.44177487,2.1233623,1.5993404,Safety,29,5.4494123,0.3381196329261569,False
