episode,total_steps,reward,avg_q,satisfaction,actor_loss,critic_loss,w_eng,w_sat,w_div
1,14,3.4569144,0.0,0.10000000000000007,0.0,0.0,0.32274494,0.29951525,0.3777398
2,27,3.3205128,0.0,0.15000000000000002,0.0,0.0,0.3285926,0.29830503,0.3731024
3,37,1.3479357,0.0,0.15000000000000013,0.0,0.0,0.32260898,0.2950604,0.3823307
4,50,2.9020317,0.0,0.1499999999999999,0.0,0.0,0.31646025,0.29269737,0.39084235
5,63,1.9449081,0.0,0.15000000000000013,0.0,0.0,0.31652868,0.2948744,0.38859695
6,73,1.181082,0.0,0.15000000000000008,0.0,0.0,0.32414642,0.29408377,0.3817698
7,86,0.74521327,0.0,0.05,0.0,0.0,0.31242284,0.29721808,0.39035907
8,93,0.15062404,0.0,0.15000000000000008,0.0,0.0,0.30705193,0.29333836,0.39960968
9,100,-0.15035415,0.0,0.15000000000000008,0.0,0.0,0.3031621,0.28279057,0.41404733
10,112,0.86104774,0.0,0.0,0.0,0.0,0.34413177,0.3065478,0.34932044
11,123,1.6545286,0.0,0.10000000000000013,0.0,0.0,0.33260787,0.30134857,0.36604357
12,135,2.3822014,0.0,0.05000000000000007,0.0,0.0,0.3131216,0.29086405,0.39601436
13,147,1.9316521,0.0,0.05000000000000013,0.0,0.0,0.329535,0.3035417,0.3669233
14,154,-0.8505608,0.0,0.15000000000000008,0.0,0.0,0.32782552,0.2973122,0.37486228
15,168,1.9725256,0.0,0.0,0.0,0.0,0.3054167,0.29294303,0.40164027
16,182,2.1860557,0.0,0.10000000000000007,0.0,0.0,0.32594204,0.29762387,0.37643406
17,192,1.329418,0.0,0.15000000000000008,0.0,0.0,0.3335068,0.3013342,0.365159
18,199,-0.62089443,0.0,0.15000000000000008,0.0,0.0,0.33522734,0.30590066,0.35887197
19,219,5.8396683,0.0,0.10000000000000007,0.0,0.0,0.3433782,0.30544832,0.35117352
20,242,7.2106943,0.0,0.10000000000000013,0.0,0.0,0.3323037,0.30056843,0.36712787
21,256,2.7147083,0.0,0.1,0.0,0.0,0.29941547,0.28331372,0.41727078
22,263,-0.6402724,0.0,0.15000000000000008,0.0,0.0,0.32536674,0.30953598,0.3650973
23,286,8.50438,0.0,0.10000000000000013,0.0,0.0,0.31272,0.28973734,0.39754266
24,303,3.0386443,0.0,0.0,0.0,0.0,0.3323317,0.3075872,0.3600811
25,311,-0.77466404,0.0,0.10000000000000007,0.0,0.0,0.32567513,0.29512128,0.37920362
26,329,4.4272165,0.0,0.05000000000000002,0.0,0.0,0.334697,0.30864668,0.35665625
27,337,0.083388805,0.0,0.10000000000000007,0.0,0.0,0.3374117,0.309777,0.35281134
28,347,0.8017702,0.0,0.15000000000000008,0.0,0.0,0.33454686,0.30572575,0.3597274
29,363,5.044489,0.0,0.15000000000000008,0.0,0.0,0.31553775,0.29241398,0.39204827
30,384,6.4702005,0.0,0.1,0.0,0.0,0.32425785,0.29508775,0.38065442
31,394,1.2986677,0.0,0.15000000000000008,0.0,0.0,0.30257836,0.2865292,0.4108924
32,404,0.8835952,0.0,6.938893903907228e-17,0.0,0.0,0.31795067,0.28929332,0.392756
33,427,7.52915,0.0,0.10000000000000019,0.0,0.0,0.32792848,0.31414592,0.35792553
34,436,0.92825556,0.0,0.05000000000000007,0.0,0.0,0.3156365,0.29003924,0.39432424
35,443,-0.33269453,0.0,0.15000000000000008,0.0,0.0,0.31410936,0.29217094,0.3937197
36,451,0.46801996,0.0,0.10000000000000007,0.0,0.0,0.31635496,0.29299927,0.39064574
37,475,8.895454,0.0,0.19999999999999968,0.0,0.0,0.33262628,0.30226097,0.36511272
38,491,3.8064988,0.0,1.8041124150158794e-16,0.0,0.0,0.33238974,0.30573562,0.36187464
39,499,-0.56027913,0.0,0.10000000000000007,0.0,0.0,0.33534905,0.30488083,0.35977015
40,519,5.208887,0.0,0.15000000000000002,0.0,0.0,0.32089,0.29921392,0.37989607
41,539,5.5190187,0.0,0.10000000000000013,0.0,0.0,0.3090995,0.29251146,0.39838907
42,553,2.0679624,0.0,0.0,0.0,0.0,0.33760345,0.30984497,0.3525516
43,566,1.3484035,0.0,0.1,0.0,0.0,0.32915813,0.30162537,0.3692165
44,582,4.12512,0.0,0.15000000000000013,0.0,0.0,0.32997087,0.2992119,0.3708172
45,597,1.6557932,0.0,0.0,0.0,0.0,0.33456308,0.3087155,0.35672137
46,604,-0.23693132,0.0,0.15000000000000008,0.0,0.0,0.2981003,0.28970632,0.41219336
47,615,0.48118567,0.0,0.0,0.0,0.0,0.3351937,0.30774686,0.35705948
48,648,10.330561,0.0,0.0,0.0,0.0,0.32813537,0.30355102,0.36831355
49,658,2.004559,0.0,0.15000000000000013,0.0,0.0,0.30984554,0.28988916,0.40026534
50,668,1.7059135,0.0,0.15000000000000008,0.0,0.0,0.33036333,0.29640612,0.37323052
51,682,4.119167,0.0,0.10000000000000013,0.0,0.0,0.29176447,0.28403634,0.4241992
52,699,4.6342144,0.0,0.09999999999999991,0.0,0.0,0.3420385,0.30274075,0.35522074
53,707,0.6125591,0.0,0.10000000000000007,0.0,0.0,0.30490574,0.28836593,0.40672836
54,714,0.06836152,0.0,0.15000000000000008,0.0,0.0,0.34092712,0.30735016,0.35172272
